Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.265;
2;0.2337;
3;0.2165;
4;0.2472;
5;0.2688;
6;0.4027;
7;0.5896;
8;0.6082;
9;0.4723;
10;0.3133;
11;0.4637;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-20
12;0.3149;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-20
13;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-20
14;0.123;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-20
15;0.1242;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-09-20
16;0.1292;
17;0.4686;
18;0.6175;
19;0.5904;
20;0.6888;
21;0.5535;
22;0.5622;
23;0.5523;
24;0.3972;
