Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.7972;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
2;0.7503;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
3;0.7172;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
4;0.6888;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
5;0.6888;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
6;0.7109;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
7;0.738;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
8;0.7872;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
9;0.7995;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
10;0.7337;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
11;0.6556;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
12;0.6159;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
13;0.6039;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
14;0.6211;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
15;0.6507;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
16;0.7387;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
17;0.8856;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
18;1.1309;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
19;1.0455;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
20;1.0086;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
21;0.9299;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
22;0.8659;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
23;0.8315;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
24;0.7823;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2025-02-16
