"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","452,50","2 686,70"
"1-2","436,85","2 477,80"
"2-3","400,00","2 561,60"
"3-4","383,25","2 576,20"
"4-5","377,00","2 451,30"
"5-6","400,00","2 606,40"
"6-7","471,42","3 042,90"
"7-8","494,39","3 471,30"
"8-9","461,95","3 560,70"
"9-10","387,00","4 182,40"
"10-11","182,91","4 404,50"
"11-12","97,82","4 343,60"
"12-13","27,40","4 413,60"
"13-14","1,00","4 507,20"
"14-15","0,00","4 428,60"
"15-16","0,01","4 578,80"
"16-17","41,40","4 351,70"
"17-18","300,00","4 194,10"
"18-19","461,92","3 443,40"
"19-20","620,00","3 482,50"
"20-21","823,70","4 127,80"
"21-22","669,98","4 068,80"
"22-23","500,00","4 095,10"
"23-24","456,00","3 025,40"
