"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","457,40","2 744,80"
"1-2","440,90","2 763,90"
"2-3","436,00","2 782,40"
"3-4","434,00","2 819,30"
"4-5","436,00","2 592,50"
"5-6","462,80","2 858,20"
"6-7","550,11","3 299,60"
"7-8","526,80","3 112,10"
"8-9","458,60","3 472,90"
"9-10","424,53","4 123,00"
"10-11","298,85","4 481,60"
"11-12","200,00","4 451,60"
"12-13","120,00","3 997,40"
"13-14","50,00","3 998,20"
"14-15","44,57","4 032,40"
"15-16","129,00","3 753,60"
"16-17","270,00","3 299,50"
"17-18","402,16","3 028,00"
"18-19","525,04","3 383,70"
"19-20","740,00","4 032,00"
"20-21","1051,57","4 603,70"
"21-22","800,00","4 401,50"
"22-23","599,01","4 768,50"
"23-24","502,00","4 051,10"
